orig_index,who_shouldnt_code,disambiguated_entity,disambiguated_entity_id,sex_at_birth,comment/reference,pronoun_denoting_gender,comment/reference.1,race_ethnicity,comment/reference.2,public_health_researcher,practitioner/clinician/physician,non_public_health_researcher,politician/govt service/policymaker,industry_expert,celebrity,journalist,comment/reference.3
567,Simone,bernard olayo,727871790,Male,https://nextbillion.net/authors/dr-bernard-olayo/,He,https://nextbillion.net/authors/dr-bernard-olayo/,Black/African,https://nextbillion.net/authors/dr-bernard-olayo/,Yes,Yes,No,Yes,No,No,No,https://nextbillion.net/authors/dr-bernard-olayo/
652,Simone,brett p giroir,4063668002,Male,https://en.wikipedia.org/wiki/Brett_Giroir,He,https://en.wikipedia.org/wiki/Brett_Giroir,White/European,https://en.wikipedia.org/wiki/Brett_Giroir,No,Yes,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Brett_Giroir
725,Simone,camille locht,2452473894,Male,https://www.tbvi.eu/team/dr-camille-locht/,He,https://www.tbvi.eu/team/dr-camille-locht/,White/European,https://www.tbvi.eu/team/dr-camille-locht/,No,No,Yes,No,Yes,No,No,https://www.tbvi.eu/team/dr-camille-locht/
732,Simone,carina king,2379452224,Female,https://staff.ki.se/people/carkin,She,https://staff.ki.se/people/carkin,White/European,https://staff.ki.se/people/carkin,Yes,No,No,No,No,No,No,https://staff.ki.se/people/carkin
757,Lilly+Syed,carolyn c cannuscio,1278339114,Female,https://www.med.upenn.edu/apps/faculty/index.php/g275/p6153664,She,https://www.med.upenn.edu/apps/faculty/index.php/g275/p6153664,White/European,http://www.healthylibrary.org/who,Yes,No,No,No,Yes,No,No,https://www.med.upenn.edu/apps/faculty/index.php/g275/p6153664
813,Syed,chad pecknold,266540947,Male,https://trs.catholic.edu/faculty-and-research/faculty-profiles/pecknold-chad/index.html,He,https://trs.catholic.edu/faculty-and-research/faculty-profiles/pecknold-chad/index.html,White/European,https://trs.catholic.edu/faculty-and-research/faculty-profiles/pecknold-chad/index.html,No,No,Yes,No,No,No,No,https://trs.catholic.edu/faculty-and-research/faculty-profiles/pecknold-chad/index.html
829,Syed,charles dela cruz,613687509,Male,https://medicine.yale.edu/profile/charles_delacruz/,He,https://medicine.yale.edu/profile/charles_delacruz/,East Asian,https://medicine.yale.edu/profile/charles_delacruz/,Yes,Yes,No,No,No,No,No,https://medicine.yale.edu/profile/charles_delacruz/
914,Syed,christine jenkins,132973211,Female,https://www.georgeinstitute.org/people/christine-jenkins,She,https://www.georgeinstitute.org/people/christine-jenkins,White/European,https://www.georgeinstitute.org/people/christine-jenkins,Yes,Yes,No,No,Yes,No,No,https://www.georgeinstitute.org/people/christine-jenkins
921,Syed,christopher anderson,995289258,Male,https://en.wikipedia.org/wiki/Christopher_Anderson_(photographer),He,https://en.wikipedia.org/wiki/Christopher_Anderson_(photographer),White/European,https://en.wikipedia.org/wiki/Christopher_Anderson_(photographer),No,No,No,No,No,No,Yes,https://en.wikipedia.org/wiki/Christopher_Anderson_(photographer)
1033,KP,cynthia detata,2552092025,Female,https://med.stanford.edu/profiles/cynthia-detata?tab=bio,She,https://med.stanford.edu/profiles/cynthia-detata?tab=bio,White/European,https://med.stanford.edu/profiles/cynthia-detata?tab=bio,Yes,Yes,No,No,No,No,No,https://med.stanford.edu/profiles/cynthia-detata?tab=bio
1049,KP,dan doyle,3356548966,Male,https://www.afge.org/districts/district-4/,He,https://www.afge.org/districts/district-4/,White/European,https://www.afge.org/districts/district-4/,No,No,No,Yes,No,No,No,https://www.afge.org/districts/district-4/
1295,KP,denis hamilton,1768079001,Male,https://www.business.rutgers.edu/faculty/denis-hamilton,He,https://www.business.rutgers.edu/faculty/denis-hamilton,White/European,https://www.business.rutgers.edu/faculty/denis-hamilton,No,No,Yes,No,No,No,No,https://www.business.rutgers.edu/faculty/denis-hamilton
1330,KP,dolly parton,135848900,Female,https://en.wikipedia.org/wiki/Dolly_Parton,She,https://en.wikipedia.org/wiki/Dolly_Parton,White/European,https://en.wikipedia.org/wiki/Dolly_Parton,No,No,No,No,No,Yes,No,https://en.wikipedia.org/wiki/Dolly_Parton
1518,Syed,erin burnett,614602063,Female,https://en.wikipedia.org/wiki/Erin_Burnett,She,https://en.wikipedia.org/wiki/Erin_Burnett,White/European,https://en.wikipedia.org/wiki/Erin_Burnett,No,No,No,No,Yes,No,Yes,https://en.wikipedia.org/wiki/Erin_Burnett
1534,Syed,ethan weiss,1300347716,Male,https://profiles.ucsf.edu/ethan.weiss,He,https://profiles.ucsf.edu/ethan.weiss,White/European,https://profiles.ucsf.edu/ethan.weiss,Yes,Yes,No,No,No,No,No,https://profiles.ucsf.edu/ethan.weiss
1560,Syed,fang li,1254473554,Male,https://gnews.org/353178/,He,https://gnews.org/353178/,East Asian,https://gnews.org/353178/,Yes,Yes,No,No,No,No,No,https://gnews.org/353178/
1605,Syed,francis riedo,2163675744,Male,https://www.healthgrades.com/physician/dr-francis-riedo-363t4,He,https://www.healthgrades.com/physician/dr-francis-riedo-363t4,White/European,https://www.healthgrades.com/physician/dr-francis-riedo-363t4,Yes,Yes,No,No,No,No,No,"https://www.healthgrades.com/physician/dr-francis-riedo-363t4 , https://journals.lww.com/pidj/citation/1995/08000/epidemiology_and_prevention_of_meningococcal.1.aspx?Ppt=Article%7Cpidj:1995:08000:00001%7C%7C"
1704,Nicole+Syed,george belch,2854447325,Male,https://business.sdsu.edu/about/directory/gbelch,He,https://business.sdsu.edu/about/directory/gbelch,White/European,https://business.sdsu.edu/about/directory/gbelch,No,No,Yes,No,No,No,No,https://business.sdsu.edu/about/directory/gbelch
1739,Nicole+Syed,gerry connolly,598551995,Male,https://en.wikipedia.org/wiki/Gerry_Connolly,He,https://en.wikipedia.org/wiki/Gerry_Connolly,White/European,https://en.wikipedia.org/wiki/Gerry_Connolly,No,No,No,Yes,Yes,No,No,https://en.wikipedia.org/wiki/Gerry_Connolly
1794,Syed,greer millard,3721000567,Female,https://firrp.org/staff/millard-greer/,She,https://firrp.org/staff/millard-greer/,White/European,https://firrp.org/staff/millard-greer/,No,No,No,Yes,Yes,No,No,https://firrp.org/staff/millard-greer/
1800,Syed,greg millett,4234646734,Male,https://www.amfar.org/greg/,He,https://www.amfar.org/greg/,Black/African,https://www.amfar.org/greg/,Yes,No,No,Yes,No,No,No,https://www.amfar.org/greg/
1840,Erica,hai shao,3241551335,Male,https://www.sharp.com/san-diego-doctors/dr-hai-shao-73098,He,https://www.sharp.com/san-diego-doctors/dr-hai-shao-73098,East Asian,https://www.sharp.com/san-diego-doctors/dr-hai-shao-73098,Yes,Yes,No,No,No,No,No,https://www.sharp.com/san-diego-doctors/dr-hai-shao-73098
1844,Erica,hal f yee,2461623766,Male,http://econsultla.com/about/yee,He,http://econsultla.com/about/yee,East Asian,http://econsultla.com/about/yee,Yes,Yes,No,Yes,No,No,No,http://econsultla.com/about/yee
1899,Syed,helena maier,2705532516,Female,https://www.pirbright.ac.uk/users/dr-helena-maier,She,https://www.pirbright.ac.uk/users/dr-helena-maier,White/European,https://www.pirbright.ac.uk/users/dr-helena-maier,Yes,No,No,No,No,No,No,https://www.pirbright.ac.uk/users/dr-helena-maier
1903,Syed,henk bekedam,742889881,Male,https://www.who.int/india/news/commentaries/detail/my-five,He,https://en.wikipedia.org/wiki/Henk_Bekedam,White/European,https://www.who.int/india/news/commentaries/detail/my-five,Yes,Yes,No,Yes,No,No,No,"https://en.wikipedia.org/wiki/Henk_Bekedam,https://www.sciencedirect.com/science/article/pii/S0140673611603930?casa_token=zux8pMmL8SsAAAAA:jskWdPlaqsLJTNF2ohC-jTfL_B9rLo5g_8vk7zdk0int8b--l8GNXU6z4rIJa8R7NguyCn2HIxU#!"
1930,Syed,hina shah,3093949385,Female,https://www.ggu.edu/shared-content/faculty/bio/hina-shah,She,https://www.ggu.edu/shared-content/faculty/bio/hina-shah,South Asian,https://www.ggu.edu/shared-content/faculty/bio/hina-shah,No,No,Yes,Yes,Yes,No,No,https://www.ggu.edu/shared-content/faculty/bio/hina-shah
1938,Syed,ho ming sho,2208730822,Male,https://www.harvard-yenching.org/person/ho-ming-sho/,He,https://www.harvard-yenching.org/person/ho-ming-sho/,East Asian,https://www.harvard-yenching.org/person/ho-ming-sho/,No,No,Yes,No,No,No,No,https://www.harvard-yenching.org/person/ho-ming-sho/
2027,Syed,ivan martinez,1224091074,Male,https://directory.hsc.wvu.edu/Profile/38314,He,https://wchstv.com/news/coronavirus/experts-explain-the-quick-spread-of-covid-19,Latinx,https://directory.hsc.wvu.edu/Profile/38314,Yes,No,No,No,No,No,No,https://directory.hsc.wvu.edu/Profile/38314
2085,Syed,james grayson,3122527898,Male,https://www.sheffieldcircuit.org.uk/churches/christian-centre.html,He,https://www.jstor.org/stable/23943290?seq=1#metadata_info_tab_contents,White/European,https://www.sheffieldcircuit.org.uk/churches/christian-centre.html,No,No,Yes,No,No,No,No,"https://www.jstor.org/stable/23943290?seq=1#metadata_info_tab_contents, https://www.sheffieldcircuit.org.uk/churches/christian-centre.html"
2109,Syed,james t goodrich,1555210941,Male,https://www.cnn.com/2020/03/30/health/new-york-neurosurgeon-death-coronavirus-mcdonald-twins/index.html,He,https://www.cnn.com/2020/03/30/health/new-york-neurosurgeon-death-coronavirus-mcdonald-twins/index.html,White/European,https://www.cnn.com/2020/03/30/health/new-york-neurosurgeon-death-coronavirus-mcdonald-twins/index.html,Yes,Yes,No,No,No,No,No,https://www.cnn.com/2020/03/30/health/new-york-neurosurgeon-death-coronavirus-mcdonald-twins/index.html
2185,Syed,jay ritter,3401379334,Male,https://site.warrington.ufl.edu/ritter/,He,https://site.warrington.ufl.edu/ritter/,White/European,https://site.warrington.ufl.edu/ritter/,No,No,Yes,No,Yes,No,No,https://site.warrington.ufl.edu/ritter/
2192,Syed,jayme deerwester cdc,628357657,Female,https://www.usatoday.com/staff/2647543001/jayme-deerwester/,She,https://www.usatoday.com/staff/2647543001/jayme-deerwester/,White/European,https://www.usatoday.com/staff/2647543001/jayme-deerwester/,No,No,No,No,No,No,Yes,https://www.usatoday.com/staff/2647543001/jayme-deerwester/
2202,Syed,jean paul mira,2851032033,Male,https://resident360.nejm.org/profiles/jean-paul-mira,He,https://www.dw.com/en/french-doctor-apologizes-for-africa-coronavirus-test-idea/a-53014811,White/European,https://resident360.nejm.org/profiles/jean-paul-mira,Yes,Yes,No,No,No,No,No,"https://www.nature.com/articles/nm1622, https://resident360.nejm.org/profiles/jean-paul-mira"
2253,Syed,jeffrey samet,2044961489,Male,https://www.bumc.bu.edu/care/faculty/jeffrey-samet/,He,https://www.bumc.bu.edu/care/faculty/jeffrey-samet/,White/European,https://www.bumc.bu.edu/care/faculty/jeffrey-samet/,Yes,Yes,No,No,No,No,No,https://www.bumc.bu.edu/care/faculty/jeffrey-samet/
2275,Syed,jennifer hanrahan,3326552358,Female,http://utmc.utoledo.edu/findaphysician/Details/Jennifer-Hanrahan_1049,She,https://www.toledoblade.com/news/medical/2020/03/04/university-of-toledo-medical-professionals-allay-coronavirus-fears/stories/20200304160,White/European,http://utmc.utoledo.edu/findaphysician/Details/Jennifer-Hanrahan_1049,Yes,Yes,No,No,No,No,No,"http://utmc.utoledo.edu/findaphysician/Details/Jennifer-Hanrahan_1049,https://www.nejm.org/doi/full/10.1056/nejm200012283432604"
2560,Syed,jonathan haidt,4003734382,Male,https://en.wikipedia.org/wiki/Jonathan_Haidt,He,https://en.wikipedia.org/wiki/Jonathan_Haidt,White/European,https://en.wikipedia.org/wiki/Jonathan_Haidt,Yes,No,No,No,Yes,No,No,https://en.wikipedia.org/wiki/Jonathan_Haidt
2613,Syed,joseph wu,1192855110,Male,http://med.stanford.edu/wulab.html,He,http://med.stanford.edu/wulab.html,East Asian,http://med.stanford.edu/wulab.html,Yes,Yes,No,No,No,No,No,http://med.stanford.edu/wulab.html
2631,Syed,joshua freeman,3587625305,Male,https://www.stuff.co.nz/national/health/coronavirus/120924215/coronavirus-between-testing-lab-and-hospital-doctor-goes-where-i-can-make-the-most-difference,He,https://www.stuff.co.nz/national/health/coronavirus/120924215/coronavirus-between-testing-lab-and-hospital-doctor-goes-where-i-can-make-the-most-difference,White/European,https://www.stuff.co.nz/national/health/coronavirus/120924215/coronavirus-between-testing-lab-and-hospital-doctor-goes-where-i-can-make-the-most-difference,Yes,Yes,No,No,No,No,No,https://www.stuff.co.nz/national/health/coronavirus/120924215/coronavirus-between-testing-lab-and-hospital-doctor-goes-where-i-can-make-the-most-difference
2654,Syed,joyce beatty,3025525507,Female,https://en.wikipedia.org/wiki/Joyce_Beatty,She,https://en.wikipedia.org/wiki/Joyce_Beatty,Black/African,https://en.wikipedia.org/wiki/Joyce_Beatty,No,No,No,Yes,Yes,No,No,https://en.wikipedia.org/wiki/Joyce_Beatty
2671,Syed,julian druce,3149873663,Male,https://www.doherty.edu.au/people/dr-julian-druce,He,https://www.doherty.edu.au/people/dr-julian-druce,White/European,https://www.doherty.edu.au/people/dr-julian-druce,Yes,No,No,No,No,No,No,https://www.doherty.edu.au/people/dr-julian-druce
2737,Syed,karla kirkegaard,3233436862,Female,https://web.stanford.edu/group/kirkegaard/karla.html,She,https://web.stanford.edu/group/kirkegaard/karla.html,White/European,https://web.stanford.edu/group/kirkegaard/karla.html,Yes,No,No,No,No,No,No,https://web.stanford.edu/group/kirkegaard/karla.html
2739,Syed,karla satchell,1460008703,Female,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=10285,She,https://en.wikipedia.org/wiki/Karla_Satchell,White/European,https://www.feinberg.northwestern.edu/faculty-profiles/az/profile.html?xid=10285,Yes,No,No,No,No,No,Yes,https://en.wikipedia.org/wiki/Karla_Satchell
2795,Janina,kean seng lim,2822615092,Male,https://www.linkedin.com/in/kean-seng-lim-a08a38a3/?originalSubdomain=au,He,https://www.linkedin.com/in/kean-seng-lim-a08a38a3/?originalSubdomain=au,East Asian,https://www.linkedin.com/in/kean-seng-lim-a08a38a3/?originalSubdomain=au,No,Yes,No,No,Yes,No,No,https://search.informit.com.au/documentSummary;dn=687235174340077;res=IELIAC
2882,Janina,kim farley,307176230,Male,https://ph.ucla.edu/faculty/kim-farley,He,https://ph.ucla.edu/faculty/kim-farley,White/European,https://ph.ucla.edu/faculty/kim-farley,Yes,Yes,No,Yes,No,No,No,https://ph.ucla.edu/faculty/kim-farley
2900,Janina,kk cheng,3345950908,Male,https://www.birmingham.ac.uk/staff/profiles/applied-health/cheng-kk.aspx,He,https://www.birmingham.ac.uk/staff/profiles/applied-health/cheng-kk.aspx,East Asian,https://www.birmingham.ac.uk/staff/profiles/applied-health/cheng-kk.aspx,Yes,No,No,No,No,No,No,https://www.birmingham.ac.uk/staff/profiles/applied-health/cheng-kk.aspx
2964,Janina,larry brilliant,444605486,Male,https://www.marketplace.org/2020/09/15/covid-19-vaccine-global-program-larry-brilliant-smallpox/,He,https://www.marketplace.org/2020/09/15/covid-19-vaccine-global-program-larry-brilliant-smallpox/,White/European,https://www.marketplace.org/2020/09/15/covid-19-vaccine-global-program-larry-brilliant-smallpox/,Yes,Yes,No,No,Yes,No,No,https://www.marketplace.org/2020/09/15/covid-19-vaccine-global-program-larry-brilliant-smallpox/
2989,Janina,laura huckins,2667509681,Female,https://labs.icahn.mssm.edu/huckinslab/,She,https://labs.icahn.mssm.edu/huckinslab/,White/European,https://labs.icahn.mssm.edu/huckinslab/,Yes,No,No,No,No,No,No,https://labs.icahn.mssm.edu/huckinslab/
3073,Syed,li wenliang,3119123423,Male,https://en.wikipedia.org/wiki/Li_Wenliang,He,https://en.wikipedia.org/wiki/Li_Wenliang,East Asian,https://en.wikipedia.org/wiki/Li_Wenliang,No,Yes,No,No,No,No,No,https://en.wikipedia.org/wiki/Li_Wenliang
3123,Syed,lisa santora,1951019702,Female,https://www.linkedin.com/in/lisa-santora-914613a/,She,http://tedxmanhattanbeach.com/past-events/conference-february-2011/lisa-santora/,White/European,https://www.linkedin.com/in/lisa-santora-914613a/,No,Yes,No,Yes,No,No,No,https://www.linkedin.com/in/lisa-santora-914613a/
3130,Syed,liz allen,855892309,Female,https://researchers.anu.edu.au/researchers/allen-e,She,https://researchers.anu.edu.au/researchers/allen-e,White/European,https://researchers.anu.edu.au/researchers/allen-e,No,No,Yes,No,No,No,No,https://researchers.anu.edu.au/researchers/allen-e
3176,Syed,luiz henrique mandetta,1852078796,Male,https://en.wikipedia.org/wiki/Luiz_Henrique_Mandetta,He,https://en.wikipedia.org/wiki/Luiz_Henrique_Mandetta,Latinx,https://en.wikipedia.org/wiki/Luiz_Henrique_Mandetta,Yes,Yes,No,Yes,No,No,No,"https://www.scielo.br/scielo.php?pid=S0037-86822020000101000&script=sci_arttext, https://en.wikipedia.org/wiki/Luiz_Henrique_Mandetta, https://en.wikipedia.org/wiki/Luiz_Henrique_Mandetta"
3231,Syed,marc k siegel,1382203393,Male,https://nyulangone.org/doctors/1649338898/marc-k-siegel,He,https://en.wikipedia.org/wiki/Marc_Siegel,White/European,https://nyulangone.org/doctors/1649338898/marc-k-siegel,Yes,Yes,No,No,No,No,Yes,"https://nyulangone.org/doctors/1649338898/marc-k-siegel, https://en.wikipedia.org/wiki/Marc_Siegel"
3238,Syed,marc van ranst,2019752396,Male,https://twitter.com/vanranstmarc,He,https://en.wikipedia.org/wiki/Marc_Van_Ranst,White/European,https://twitter.com/vanranstmarc,Yes,Yes,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Marc_Van_Ranst
3246,Syed,marcia o malley,774240828,Female,https://omalleym.web.rice.edu/,She,https://omalleym.web.rice.edu/,White/European,https://omalleym.web.rice.edu/,No,No,Yes,No,No,No,No,"https://scholar.google.com/citations?user=6hkhxioAAAAJ&hl=en&oi=ao,https://omalleym.web.rice.edu/"
3247,Syed,marco cambielli,3492184788,Male,https://www.nytimes.com/2020/03/31/obituaries/roberto-stella-dead-coronavirus.html,He,https://www.nytimes.com/2020/03/31/obituaries/roberto-stella-dead-coronavirus.html,White/European,https://www.nytimes.com/2020/03/31/obituaries/roberto-stella-dead-coronavirus.html,Yes,Yes,No,No,No,No,No,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5629873/,https://www.nytimes.com/2020/03/31/obituaries/roberto-stella-dead-coronavirus.html"
3260,Janina+Syed,margaret zacharin,2497578321,Female,https://www.mcri.edu.au/users/aprofessor-margaret-zacharin,She,https://www.mcri.edu.au/users/aprofessor-margaret-zacharin,White/European,https://www.mcri.edu.au/users/aprofessor-margaret-zacharin,Yes,No,No,No,No,No,No,https://www.mcri.edu.au/users/aprofessor-margaret-zacharin
3289,Janina+Syed,marilyn serafini,2324698908,Female,https://bipartisanpolicy.org/person/marilyn-werber-serafini/,She,https://bipartisanpolicy.org/person/marilyn-werber-serafini/,White/European,https://bipartisanpolicy.org/person/marilyn-werber-serafini/,Yes,No,No,No,Yes,No,Yes,"https://www.healthaffairs.org/doi/full/10.1377/hlthaff.2018.0050,https://bipartisanpolicy.org/person/marilyn-werber-serafini/"
3398,Syed,mary louise mclaws,2777622567,Female,https://research.unsw.edu.au/people/professor-marylouise-mclaws,She,https://research.unsw.edu.au/people/professor-marylouise-mclaws,White/European,https://research.unsw.edu.au/people/professor-marylouise-mclaws,Yes,Yes,No,Yes,No,No,No,https://research.unsw.edu.au/people/professor-marylouise-mclaws
3521,Syed,michael cloud,3253384100,Male,https://en.wikipedia.org/wiki/Michael_Cloud,He,https://en.wikipedia.org/wiki/Michael_Cloud,White/European,https://en.wikipedia.org/wiki/Michael_Cloud,No,No,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Michael_Cloud
3541,Syed,michael j wishnie,3454816161,Male,https://law.yale.edu/michael-j-wishnie,He,https://en.wikipedia.org/wiki/Michael_Wishnie,White/European,https://law.yale.edu/michael-j-wishnie,No,No,Yes,No,Yes,No,No,"https://en.wikipedia.org/wiki/Michael_Wishnie , industry expert because he is a clinical professor of law which means he was a lomngtime law practitioner"
3558,Syed,michael ng,3778878845,Male,https://www.linkedin.com/in/mike-ng-cfa-cpa-0485491b/,He,https://articles.traderspro.com/index.php/2019/05/30/why-goldman-sachs-just-added-this-video-game-stock-to-its-conviction-buy-list/,East Asian,https://www.linkedin.com/in/mike-ng-cfa-cpa-0485491b/,No,No,No,No,Yes,No,No,https://articles.traderspro.com/index.php/2019/05/30/why-goldman-sachs-just-added-this-video-game-stock-to-its-conviction-buy-list/
3575,Syed,michael thrusfield,77710866,Male,https://www.ed.ac.uk/profile/michael-thrusfield,He,https://www.ed.ac.uk/profile/michael-thrusfield,White/European,https://www.ed.ac.uk/profile/michael-thrusfield,Yes,Yes,No,Yes,No,No,No,https://www.ed.ac.uk/profile/michael-thrusfield
3605,Syed,mieke beth thomeer,678850837,Female,https://www.uab.edu/cas/sociology/people/faculty-directory/mieke-beth-thomeer,She,https://www.dailypress.com/news/dp-xpm-20080706-2008-07-06-0807030112-story.html,White/European,https://www.uab.edu/cas/sociology/people/faculty-directory/mieke-beth-thomeer,Yes,No,No,No,No,No,No,https://www.uab.edu/cas/sociology/people/faculty-directory/mieke-beth-thomeer
3632,Syed,miko enomoto,1185215519,Female,https://www.ohsu.edu/providers/tonya-miko-enomoto-md,She,https://www.ohsu.edu/providers/tonya-miko-enomoto-md,East Asian,https://www.ohsu.edu/providers/tonya-miko-enomoto-md,Yes,Yes,No,No,No,No,No,"https://www.ohsu.edu/providers/tonya-miko-enomoto-md,https://journals.lww.com/jtrauma/Fulltext/2006/07000/Risk_Factors_for_Delirium_Tremens_in_Trauma.8.aspx?casa_token=XWRk0kShMswAAAAA:z7jGf8zFYe781A8qDNYpr0oxYqA6W2TZfAxYBFAT93AHzgOYlLTvn8agV0vWI1hKoMsMnOziw3hJYE0AV6e0jw"
3731,Syed,nancy pelosi,4114400468,Female,https://en.wikipedia.org/wiki/Nancy_Pelosi,She,https://en.wikipedia.org/wiki/Nancy_Pelosi,White/European,https://en.wikipedia.org/wiki/Nancy_Pelosi,No,No,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Nancy_Pelosi
3752,Syed,nathan sheets,276158738,Male,https://en.wikipedia.org/wiki/D._Nathan_Sheets,He,https://en.wikipedia.org/wiki/D._Nathan_Sheets,White/European,https://en.wikipedia.org/wiki/D._Nathan_Sheets,No,No,Yes,Yes,Yes,No,No,"https://en.wikipedia.org/wiki/D._Nathan_Sheets, https://www.jstor.org/stable/3839057?casa_token=JyVbqxZ9ReEAAAAA%3Anoe-adisNtxvZ68bvFcN7q9vnrFoRXzwz4RMSHl1vpR_sMzPedUs3t7icEnBueXJ4fHrGPgiJvpg83M-7JZC7cp69D7eM2hnAvXIPjcM-xh2Uz_Ym3_n#metadata_info_tab_contents"
3787,Syed,nicholas chater,1909946818,Male,https://www.wbs.ac.uk/about/person/nick-chater/,He,https://www.wbs.ac.uk/about/person/nick-chater/,White/European,https://www.wbs.ac.uk/about/person/nick-chater/,No,No,Yes,No,Yes,No,No,https://www.wbs.ac.uk/about/person/nick-chater/
3835,Syed,nicolas maduro,1083768580,Male,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,He,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,Latinx,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro,No,No,No,Yes,No,No,No,https://en.wikipedia.org/wiki/Nicol%C3%A1s_Maduro
4075,Gratiana,philip lowe,1968519487,Male,https://en.wikipedia.org/wiki/Philip_Lowe,He,https://en.wikipedia.org/wiki/Philip_Lowe,White/European,https://en.wikipedia.org/wiki/Philip_Lowe,No,No,Yes,Yes,No,No,No,https://en.wikipedia.org/wiki/Philip_Lowe
4120,Gratiana,prosper chonzi,2542777057,Male,https://www.pindula.co.zw/Prosper_Chonzi,He,https://www.pindula.co.zw/Prosper_Chonzi,Black/African,https://www.pindula.co.zw/Prosper_Chonzi,Yes,No,No,Yes,No,No,No,https://www.pindula.co.zw/Prosper_Chonzi
